Price,Property Details,Bedrooms,Bathrooms,Size,Property Type,Postal Code
1950000,"4bds3ba2,567sqft- House for sale",4,3,"2,567",House for sale,V5K 1C5
375000,1bd1ba484sqft- House for sale,1,1,484,House for sale,V6G 3E7
4600000,"6bds3ba2,874sqft- House for sale",6,3,"2,874",House for sale,V6R 2G9
4600000,"6bds3ba3,120sqft- House for sale",6,3,"3,120",House for sale,V6R 2G9
1799000,"3bds4ba1,607sqft- Multi-family home for sale",3,4,"1,607",Multi-family home for sale,V5K 2W8
925000,"2bds2ba1,499sqft- Condo for sale",2,2,"1,499",Condo for sale,V6H 3S8
1649800,"2bds2ba1,110sqft- Condo for sale",2,2,"1,110",Condo for sale,V6B 0B5
890000,"3bds3ba1,404sqft- Townhouse for sale",3,3,"1,404",Townhouse for sale,V5P 4V4
395000,1bd1ba615sqft- Condo for sale,1,1,615,Condo for sale,V6G 1K4
27500000,"6bds9ba10,709sqft- House for sale",6,9,"10,709",House for sale,V6P 6B5
685500,"3bds2ba1,244sqft- Condo for sale",3,2,"1,244",Condo for sale,V5P 2S2
1399000,"3bds2ba1,522sqft- Townhouse for sale",3,2,"1,522",Townhouse for sale,V6H 3P1
18880000,"4bds7ba7,214sqft- Condo for sale",4,7,"7,214",Condo for sale,V6C 0B5
833333,3bds2ba961sqft- Townhouse for sale,3,2,961,Townhouse for sale,V5R 3P9
799000,2bds2ba855sqft- Townhouse for sale,2,2,855,Townhouse for sale,V6K 1S8
550000,2bds2ba744sqft- Condo for sale,2,2,744,Condo for sale,V6E 1S5
19988000,"4bds6ba7,299sqft- Condo for sale",4,6,"7,299",Condo for sale,V6E 0A8
749900,"2bds2ba1,006sqft- Condo for sale",2,2,"1,006",Condo for sale,V6J 4S3
1099000,"3bds3ba1,442sqft- Townhouse for sale",3,3,"1,442",Townhouse for sale,V5K 1S5
327000,1bd1ba547sqft- Condo for sale,1,1,547,Condo for sale,V6G 1X9
579000,2bds1ba690sqft- Condo for sale,2,1,690,Condo for sale,V5N 1H1
14980000,"5bds8ba5,125sqft- House for sale",5,8,"5,125",House for sale,V6M 1S1
16900000,"7bds11ba11,271sqft- House for sale",7,11,"11,271",House for sale,V6N 3X9
1099000,"3bds4ba1,315sqft- Multi-family home for sale",3,4,"1,315",Multi-family home for sale,V5K 2H9
2128000,"2bds2ba1,068sqft- House for sale",2,2,"1,068",House for sale,V6K 3N7
1099000,"3bds2ba1,819sqft- Condo for sale",3,2,"1,819",Condo for sale,V6H 3W2
989988,"3bds2ba1,266sqft- Townhouse for sale",3,2,"1,266",Townhouse for sale,V6R 4R2
509900,2bds2ba812sqft- Condo for sale,2,2,812,Condo for sale,V6E 1S8
28880000,"8bds12ba15,371sqft- House for sale",8,12,"15,371",House for sale,V6P 1R1
18900000,"3bds5ba4,346sqft- Condo for sale",3,5,"4,346",Condo for sale,V6G 1A5
350000,2bds1ba595sqft- Condo for sale,2,1,595,Condo for sale,V6B 6A2
21800000,"8bds9ba11,963sqft- House for sale",8,9,"11,963",House for sale,V6J 4H2
985000,"4bds3ba1,672sqft- Townhouse for sale",4,3,"1,672",Townhouse for sale,V5S 4K9
14900000,"4bds6ba4,870sqft- House for sale",4,6,"4,870",House for sale,V6K 1A4
699900,"2bds2ba1,217sqft- Condo for sale",2,2,"1,217",Condo for sale,V5S 4K4
1998000,"3bds2ba1,323sqft- Condo for sale",3,2,"1,323",Condo for sale,V6K 1L2
1249000,"4bds3ba1,300sqft- Multi-family home for sale",4,3,"1,300",Multi-family home for sale,V5X 1E5
768000,"2bds2ba1,061sqft- Condo for sale",2,2,"1,061",Condo for sale,V6A 4B6
799000,"2bds2ba1,055sqft- Condo for sale",2,2,"1,055",Condo for sale,V6E 1H5
1475000,"3bds2ba1,502sqft- House for sale",3,2,"1,502",House for sale,V5N 1T6
18000000,"5bds7ba13,272sqft- House for sale",5,7,"13,272",House for sale,V6P 6K5
579000,1bd1ba567sqft- Condo for sale,1,1,567,Condo for sale,V6J 1J6
3375000,"7bds6ba3,296sqft- House for sale",7,6,"3,296",House for sale,V6R 3M1
699000,2bds2ba751sqft- Condo for sale,2,2,751,Condo for sale,V6Z 2R3
1089900,"2bds2ba1,136sqft- Townhouse for sale",2,2,"1,136",Townhouse for sale,V6J 1R6
23999000,"8bds12ba20,629sqft- House for sale",8,12,"20,629",House for sale,V6J 3P4
4599000,"5bds4ba2,775sqft- House for sale",5,4,"2,775",House for sale,V6L 1X9
379000,1bd1ba620sqft- Condo for sale,1,1,620,Condo for sale,V6E 1S8
1299000,"3bds3ba1,609sqft- Multi-family home for sale",3,3,"1,609",Multi-family home for sale,V5R 1T7
1399900,"3bds3ba1,456sqft- House for sale",3,3,"1,456",House for sale,V5V 1R7
969000,"3bds2ba1,358sqft- Townhouse for sale",3,2,"1,358",Townhouse for sale,V5K 5H5
1399000,"3bds4ba1,390sqft- Multi-family home for sale",3,4,"1,390",Multi-family home for sale,V5P 1P5
16800000,"5bds7ba6,310sqft- House for sale",5,7,"6,310",House for sale,V6N 1E6
314900,Studio1ba430sqft- Condo for sale,0,1,430,Condo for sale,V6E 1P6
869000,3bds2ba996sqft- Condo for sale,3,2,996,Condo for sale,V5R 6E6
1974000,"3bds2ba2,723sqft- Condo for sale",3,2,"2,723",Condo for sale,V5Z 4B3
19990000,"6bds10ba9,655sqft- House for sale",6,10,"9,655",House for sale,V6H 2W3
28888000,"7bds11ba10,077sqft- House for sale",7,11,"10,077",House for sale,V6T 1A9
16880000,"6bds8ba7,103sqft- House for sale",6,8,"7,103",House for sale,V6M 3J6
699900,"3bds1ba1,105sqft- Townhouse for sale",3,1,"1,105",Townhouse for sale,V5S 4A1
18880000,"3bds5ba6,041sqft- Condo for sale",3,5,"6,041",Condo for sale,V6C 2C6
14880000,"9bds11ba8,730sqft- House for sale",9,11,"8,730",House for sale,V6M 3H7
2698000,"5bds2ba2,975sqft- House for sale",5,2,"2,975",House for sale,V6R 2H4
848000,2bds1ba711sqft- Condo for sale,2,1,711,Condo for sale,V6J 1L4
530000,1bd1ba292sqft- House for sale,1,1,292,House for sale,V6E 4R5
989000,2bds2ba890sqft- Townhouse for sale,2,2,890,Townhouse for sale,V6K 1L1
2200000,"3bds3ba1,442sqft- Townhouse for sale",3,3,"1,442",Townhouse for sale,V6P 1X5
14588000,"5bds8ba6,402sqft- House for sale",5,8,"6,402",House for sale,V6M 3H4
9880000,"7bds10ba7,568sqft- House for sale",7,10,"7,568",House for sale,V6P 5V4
1149000,"3bds1ba1,383sqft- Townhouse for sale",3,1,"1,383",Townhouse for sale,V6H 3N9
1198000,"3bds2ba1,387sqft- Townhouse for sale",3,2,"1,387",Townhouse for sale,V6S 1T5
748000,2bds2ba751sqft- Condo for sale,2,2,751,Condo for sale,V6Z 2S8
22000000,"5bds6ba6,487sqft- House for sale",5,6,"6,487",House for sale,V6T 1B7
1199800,"2bds2ba1,245sqft- Townhouse for sale",2,2,"1,245",Townhouse for sale,V6H 3P1
4777000,"5bds5ba4,246sqft- House for sale",5,5,"4,246",House for sale,V6J 4C9
999000,"1bd1ba1,098sqft- House for sale",1,1,"1,098",House for sale,V5L 2A3
1299000,"5bds3ba1,355sqft- Multi-family home for sale",5,3,"1,355",Multi-family home for sale,V5K 2E7
1298000,"2bds2ba1,375sqft- Condo for sale",2,2,"1,375",Condo for sale,V6E 4M2
849900,2bds2ba780sqft- Condo for sale,2,2,780,Condo for sale,V6K 1R6
3488000,"4bds3ba2,334sqft- House for sale",4,3,"2,334",House for sale,V6N 3T8
1250000,"3bds3ba1,150sqft- Townhouse for sale",3,3,"1,150",Townhouse for sale,V6P 2B4
1699999,"2bds2ba1,349sqft- Condo for sale",2,2,"1,349",Condo for sale,V6B 0G4
1199000,"3bds4ba1,580sqft- Townhouse for sale",3,4,"1,580",Townhouse for sale,V5L 0A6
15700000,"7bds8ba6,912sqft- House for sale",7,8,"6,912",House for sale,V6P 5W8
1449900,"6bds4ba2,050sqft- House for sale",6,4,"2,050",House for sale,V5V 4V9
999999,"3bds2ba1,199sqft- Townhouse for sale",3,2,"1,199",Townhouse for sale,V5R 4S8
1425000,"2bds2ba1,452sqft- House for sale",2,2,"1,452",House for sale,V5K 2L3
1980000,"4bds3ba1,884sqft- Condo for sale",4,3,"1,884",Condo for sale,V6E 4N1
899000,"2bds2ba1,043sqft- Condo for sale",2,2,"1,043",Condo for sale,V6B 6B7
1738000,"4bds4ba1,615sqft- Multi-family home for sale",4,4,"1,615",Multi-family home for sale,V5N 2G2
2150000,"6bds3ba2,053sqft- House for sale",6,3,"2,053",House for sale,V5V 4H9
1599000,"2bds2ba1,466sqft- Condo for sale",2,2,"1,466",Condo for sale,V5Z 4G3
1988000,"6bds3ba2,420sqft- House for sale",6,3,"2,420",House for sale,V5W 1A6
458000,1bd1ba845sqft- Condo for sale,1,1,845,Condo for sale,V6M 2E3
32000000,1bd1ba640sqft- House for sale,1,1,640,House for sale,V6T 1A8
1249000,"2bds2ba1,068sqft- Condo for sale",2,2,"1,068",Condo for sale,V6G 2J9
